Equipment  #,Inventory #,Description,Construct Year,Manufacturer,Model number,VIN,Towing Capacity (lbs),Source,Unnamed: 9,NHTSA Engine size/fuel
,,,,,,,,,,
,,,2018,Chevrolet,1500,3GCUKPEC7JG530132,,,,5.3L/Gasoline
,,,2019 ,Ram,1500,3C6JR6AG9KG504349,,,,3.6L/Gasoline
,,,2019,Ram,1500,1C6RR7FG1KS582599,,,,3.6L/Gasoline
,,,2023,Ram,3500,3C63RRPL9PG552925,,,,6.7L/Diesel
,,,2021,Ford,F250,1FT8W2BT8MED45645,"20,000",https://www.ford.com/support/towing-calculator,,6.7L/Diesel
,,,2024,GMC,Sierra,1GT49VEY8RF165629,,,,6.6L/Diesel
,,Incorrect VIN,2023,Ford,F250,1FT8W2BMJPED10227,VIN ERROR,https://www.ford.com/support/towing-calculator,,VIN ERROR
,,,2021,GMC,3500,1GT49UEY3MF302379,,,,6.6L/Diesel
,,,2023,Ford,F350,1FT8W3BT6PEC38507,"22,778",https://www.ford.com/support/towing-calculator,,6.7L/Diesel
,,,2019,Ford,F150 Raptor,1FTFW1RG7KFC93958,,,,3.5L/Gasoline
,,,2022,Ford,F250,1FT7W2BT2NEF48804,"15,000",https://www.ford.com/support/towing-calculator,,6.7L/Diesel
,,,2018,Ram,2500,3C6UR5DLXJG300741,,,,6.7L/Diesel
,,,,,,,,,,
,,,,,,,,,,
Equipment  #,Inventory #,Description,Construct Year,Manufacturer,Model number,VIN,Towing Capacity (lbs),Source,,
,,,,,,,,,,
,,,2019,Toyota,Tundra,5TFHY5F16KX830985,,,,5.7L/Gasoline
,,,2019,GMC, 2500,1GT12REYXKF241369,,,,6.6L/Diesel
,,,2021,Chevrolet,1500,1GCPYFED0MZ201386,,,,5.3L/Gasoline
,,,2014,Ford,F450,1FT8W4DT0EEA11295,,,,6.7L/Diesel
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
